34,7,Великие Луки
35,5,Великий Новгород
37,23,Владивосток
39,6,Владимир
52,19,Ессентуки
62,25,Калуга
67,19,Кисловодск
68,16,Ковров
69,11,Коломна
103,1,Обнинск
105,4,Орёл
114,3,Псков
116,19,Пятигорск
140,20,Тамбов
148,21,Улан-Удэ
153,24,Хабаровск
165,22,Шуя
340,8,Серпухов
352,13,Солнечногорск
593,12,Воскресенск
718,1,Малоярославец
807,18,Муром
964,17,Новомосковск
967,15,Рославль
1301,1,Жуков
1311,9,Клин
1386,14,Сергиев Посад
1723,10,Наро-Фоминск
1797,19,Минеральные Воды
2116,3,Печоры
2238,1,Балабаново
3548,1,Боровск
1032799,1,Белоусово
1033103,25,Калуга-2
1066507,25,Калуга
