1,Обнинск,53801007,vkalendare_obninsk,,,,0,0,1420070400
2,Песочница,,,,,,1,0,0
3,Псков,63925739,vkalendare_pskov,,,,0,0,1420070400
4,Орёл,,,,,,1,0,0
5,Великий Новгород,67313176,vkalendare_vnovgorod,,,,0,0,1420070400
6,Владимир,67314058,afisha_vladimira,,102256464,,0,0,1420070400
7,Великие Луки,84759028,vkalendare_vluki,232614691,,,0,0,1
8,Серпухов,84759879,vkalendare_serpuhov,232614691,,,0,0,1
9,Клин,84903117,vkalendare_klin,232614691,,,0,0,0
10,Наро-Фоминск,84903224,vkalendare_narofominsk,232614691,,,0,0,1
11,Коломна,84903328,vkalendre_kolomna,232614691,,,0,0,1
12,Воскресенск,84903462,vkalendare_voskresensk,232614691,,,0,0,1
13,Солнечногорск,84903550,vkalendare_solnechnogorsk,232614691,,,0,0,1
14,Сергиев Посад,84903719,vkalendare_sergievposad,232614691,,,0,0,1
15,Рославль,84903795,vkalendare_roslavl,232614691,,,0,0,1
16,Ковров,84903902,vkalendare_kovrov,232614691,,,0,0,1
17,Новомосковск,84904062,vkalendare_novomoskovsk,232614691,,,0,0,1
18,Муром,84904109,vkalendare_murom,232614691,,,0,0,1
19,Пятигорск,84904156,vkalendare_pyatigorsk,232614691,,,0,0,1
20,Тамбов,84904222,vkalendare_tambov,232614691,,,0,0,1
21,Улан-Удэ,84904264,vkalendare_ulanude,232614691,,28800,0,0,1
22,Шуя,84904301,vkalendare_shuya,232614691,,,0,0,1
23,Владивосток,84904337,vkalendare_vladivostok,232614691,,36000,0,0,1
24,Хабаровск,84904385,vkalendare_habarovsk,232614691,,36000,0,0,1
25,Калуга,72071703,vkalendare_kaluga,232614691,102269285,,0,0,1
